org_code,org_name,parent_org,persistent_bottom_quartile
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,False
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RPA,MEDWAY NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RW4,MERSEY CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),True
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RVJ,NORTH BRISTOL NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),True
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),True
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NHS ENGLAND LONDON,False
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),True
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
NR3,NOTTINGHAM CITYCARE PARTNERSHIP,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),True
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RT2,PENNINE CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RHU,PORTSMOUTH HOSPITALS NHS TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS ENGLAND LONDON,False
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),True
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RNZ,SALISBURY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),True
